,Stock,Stock Price,Market Cap,Volatility,Liquidity,P/E Ratio,EPS,Listing Exchange,Penny or Not
0,UEPEO,70.05000305,7153786368,0.019124389,100,13.72722,5.103,PNK,1
1,UEPCP,68.80000305,7026131456,0.010467529,0,13.482265,5.103,PNK,1
2,BLPG,0.079999998,660012,0.156878756,30001,8,0.01,PNK,1
3,AIZ,168.3000031,8850998272,0.017511278,412900,17.155962,9.81,NYQ,0
4,ADC,60.11000061,6063115264,0.01138865,732700,35.35882,1.7,NYQ,0
5,FNMAM,3.650000095,2805638400,0.036720139,10100,521.4286,0.007,PNK,1
6,RSRV,172.9900055,26960492,0.022593644,0,13.621261,12.7,PNK,1
7,AOS,76.73999786,11412772864,0.017839698,696600,38.179104,2.01,NYQ,0
8,GULTU,0.014,3130352,0.097151255,112800,1.36,0.01,PNK,1
9,CWGL,5.889999866,124292736,0.018104987,9800,42.057144,0.14,PNK,1
10,KAYS,0.0425,942344,0.104215009,1500,0.30357143,0.14,PNK,1
11,ADP,232.9400024,95809388544,0.013825727,1647700,27.697979,8.41,NMS,0
12,AOD,7.920000076,835013504,0.008657771,342565,19.8,0.4,NYQ,0
13,AFG,116.4599991,9756762112,0.014647041,408993,11.451327,10.17,NYQ,0
14,AXTA,32.18999863,7084471808,0.01821137,2128500,30.08411,1.07,NYQ,0
15,ALE,56.04999924,3221608192,0.013486389,347100,13.004641,4.31,NYQ,0
16,AVNW,31.34000015,390396128,0.027157796,67335,20.089745,1.56,NMS,0
17,HRT,13.27999973,898321664,0.031440572,225414,147.55554,0.09,NYQ,0
18,GFMH,0.00404,561418,0.088411809,2250,Infinity,0,PNK,1
19,ALG,187.4400024,2251491840,0.019731017,62400,16.780663,11.17,NYQ,0
20,PDNLA,0.029999999,132373,0.889981117,0,Infinity,0,PNK,1
21,RNVA,5.00E-05,2027565,0.265718697,1580800,0.001,0.05,PNK,1
22,PFBX,14.25,66585832,0.027750486,2400,5.2973976,2.69,PNK,1
23,HHSE,0.0056,8439928,0.114538065,98444,Infinity,0,PNK,1
24,GOOG,133.3200073,1.65885E+12,0.019485164,24258400,25.491398,5.23,NMS,0
25,FNMFO,6200,2269038848,0.034522271,1900,885714.25,0.007,PNK,1
26,UHAL,58.43999863,11054686208,0.020682705,92744,15.542553,3.76,NYQ,0
27,FNMAH,1.940000057,2761066240,0.050255527,0,277.14285,0.007,PNK,1
28,GRST,0.0005,1864525,0.141164729,4340000,Infinity,0,PNK,1
29,SNNF,8.569999695,21042520,0.027364004,0,23.16216,0.37,PNK,1
30,ESOA,4.550000191,75797088,0.033583029,12000,21.666668,0.21,NCM,1
31,ALEX,17.21999931,1249075072,0.0150541,300300,26.492308,0.65,NYQ,0
32,GGROU,4.400000095,68158200,0.003304221,0,7.6923075,0.572,PNK,1
33,LUVU,0.090000004,6506554,0.073011088,0,8.5,0.01,PNK,1
34,AMMX,0.157000005,2331150,0.06663443,0,3.1439998,0.05,PNK,1
35,SYT,3.819999933,91484800,0.046682441,300,20.105263,0.19,NCM,0
36,FAF,60.41999817,6234195968,0.016628957,456153,26.61674,2.27,NYQ,0
37,FGPRB,168,255025680,0.031442047,293,80.76923,2.08,PNK,1
38,AMTD,1.830000043,3649184768,0.036270969,41200,0.6421053,2.85,NYQ,0
39,CIK,2.779999971,146352816,0.013139004,133061,8.6875,0.32,NYQ,0
40,ADUS,89.58000183,1455030016,0.024743385,66700,25.376772,3.53,NMS,0
41,RAYT,0.029100001,1459766,2.031674023,0,1.455,0.02,PNK,1
42,AU,20.04999924,8414663680,0.027622827,2924200,200.49998,0.1,NYQ,0
43,FMCCL,3.099999905,1390275584,0.043030422,6600,45.58823,0.068,PNK,1
44,AXS,57.27999878,4882644480,0.015673541,742876,9.1648,6.25,NYQ,0
45,ERC,9.319999695,261577904,0.008172862,71100,62.133327,0.15,ASE,0
46,GABC,30.06999969,889335296,0.01823478,74422,9.990033,3.01,NMS,0
47,ATI,43.06000137,5493465600,0.022459103,3701600,20.801933,2.07,NYQ,0
48,WBHC,35,408680992,0.001384939,0,7.2765074,4.81,PNK,1
49,AEIS,95.87000275,3574100736,0.021638581,207400,26.265753,3.65,NMS,0
50,ETST,0.064099997,20183934,0.187712014,107487,Infinity,0,PNK,1
51,GNAL,1.00E-04,6061,0.375445941,0,0.003333333,0.03,PNK,1
52,AAON,62.52999878,5080243200,0.021773243,454800,30.50244,2.05,NMS,0
53,AAT,21.10000038,1622720896,0.020810965,542714,25.731709,0.82,NYQ,0
54,AGX,47,625978880,0.019050753,78500,17.870722,2.63,NYQ,0
55,RELT,0.039949998,670560,0.116246497,0,3.995,0.01,PNK,1
56,FMCCO,3,1218801024,0.039730871,0,44.117645,0.068,PNK,1
57,UEPCN,73.25,7480583168,0.008079756,0,14.3543005,5.103,PNK,1
58,CAAS,3.660000086,110479664,0.045630046,27385,3.5533981,1.03,NCM,0
59,ABBV,143.4100037,2.53196E+11,0.012332982,4902200,39.18306,3.66,NYQ,0
60,NWPP,2.400000095,57047044,0.019834048,0,7.0588236,0.34,PNK,1
61,AILIM,83,2112549248,0.010716057,0,4.7561746,17.451,PNK,1
62,FNMAL,3.25999999,2439115776,0.038752017,200,465.71426,0.007,PNK,1
63,RSMDF,15.81989956,23481792512,0.022848598,0,25.515966,0.62,PNK,1
64,AMT,210.4700012,98113748992,0.017148565,2093300,141.25504,1.49,NYQ,0
65,ALLE,108.6900024,9541634048,0.016087149,689321,17.22504,6.31,NYQ,0
66,RBA,66.5,12125144064,0.017109457,1914800,65.19608,1.02,NYQ,0
67,AEP,80.51000214,42338279424,0.013046781,2784600,18.465597,4.36,NMS,0
68,AILLI,91,2316168448,0.005692068,100,5.214601,17.451,PNK,1
69,ARLP,21.20999908,2696321024,0.017859775,376300,3.814748,5.56,NMS,0
70,PPWLM,124,44275564544,0.054232361,500,52.144657,2.378,PNK,1
71,AP,2.75,54630952,0.03990574,7472,34.375,0.08,NYQ,0
72,AGCO,117.3700027,8788654080,0.018736227,888400,7.626381,15.39,NYQ,0
73,ARIS,8.399999619,484616992,0.036769212,269354,17.142857,0.49,NYQ,0
74,PRKR,0.200000003,17502120,0.088035602,169800,10,0.02,PNK,1
75,WCFB,7,22413510,0.022076739,0,77.77777,0.09,PNK,1
76,ABMC,0.0002,9620,0.380884074,0,0.01,0.02,PNK,1
77,NAII,6.079999924,37019964,0.031347641,10072,46.769234,0.13,NGM,0
78,ABT,104.8799973,1.82078E+11,0.01289716,4682300,35.67347,2.94,NYQ,0
79,CAR,195.7100067,7093587456,0.029659496,653400,4.2965975,45.55,NMS,0
80,PLDGP,56.79999924,43431440384,0.01369737,400,11.369096,4.996,PNK,1
81,FTCO,6.090000153,146674608,0.015433744,118400,7.5185184,0.81,PNK,1
82,AMNB,42.68999863,454285632,0.024814685,34900,15.03169,2.84,NMS,0
83,ASC,14.27999973,589746880,0.028617603,1028981,4.212389,3.39,NYQ,0
84,TEO,8.210000038,6357511680,0.037516066,113674,4.773256,1.72,NYQ,0
85,AGRX,2.160000086,5425186,0.053469785,22504,0.29548565,7.31,NCM,0
86,ALGT,71.34999847,1314395392,0.03161626,190400,7.631016,9.35,NMS,0
87,HOLI,22.94000053,1422839808,0.018395787,544800,12.202128,1.88,NMS,0
88,AL,39.68000031,4405551616,0.016347977,851400,8.896861,4.46,NYQ,0
89,FMCCK,3.200000048,1299443200,0.027381081,100,47.058823,0.068,PNK,1
90,AALI.JK,7325,1.40984E+13,0.011216201,101000,10.756715,680.97,JKT,0
91,AMGN,272.4500122,1.45809E+11,0.012949822,2303400,19.377668,14.06,NMS,0
92,LNT,51.49000168,13139167232,0.01259239,2267916,18.860806,2.73,NMS,0
93,ATEN,12.67000008,939331008,0.025315924,584619,24.365385,0.52,NYQ,0
94,BRK.AX,0.011,54302048,0.057278547,580362,Infinity,0,ASX,0
95,PIAC,0.230000004,27711780,0.119364229,0,23,0.01,PNK,1
96,TROLB,30,2191521024,0.019109361,0,24,1.25,PNK,1
97,SAMG,15.93000031,148822208,0.022716415,14713,13.057377,1.22,NGM,0
98,CFNB,16.59000015,160980400,0.006654898,800,9.816567,1.69,PNK,1
99,CPTP,11.60000038,76558960,0.019645438,1500,33.14286,0.35,PNK,1
100,ARTNB,40,436916000,0.018915294,0,25.477707,1.57,PNK,1
101,ATDS,12.11999989,1240546,0.143282695,0,6.09E-06,3314.89,PNK,1
102,AROC,14.52000046,2265962240,0.021411998,1059400,27.396229,0.53,NYQ,0
103,CII,18.64999962,823063680,0.010780836,80587,6.5669017,2.84,NYQ,0
104,ASH,82.26000214,4216639488,0.015087305,560600,26.28115,3.13,NYQ,0
105,FTLF,19.79999924,94180680,0.024525534,2300,22.5,0.88,NCM,1
106,ANF,77.87999725,3925229824,0.035247865,1323400,19.47,4,NYQ,0
107,AKAM,116.0299988,17501036544,0.015454708,1264100,35.054382,3.31,NMS,0
108,GOOGL,131.8600006,1.65897E+12,0.019363156,31431200,25.260538,5.22,NMS,0
109,FMCKP,3.049999952,1223568384,0.041911315,10800,44.85294,0.068,PNK,1
110,ARMK,28.29000092,7398061568,0.018176168,2484400,11.007783,2.57,NYQ,0
111,A,128.7899933,37622521856,0.01693403,1729600,30.737469,4.19,NYQ,0
112,AMWD,83.58000183,1339486592,0.025590934,363500,12.2731285,6.81,NMS,0
113,BUD,63.38999939,1.26968E+11,0.013154983,1331600,20.648209,3.07,NYQ,0
114,FMCCT,3.25999999,10501470208,0.039500637,220000,47.941174,0.068,PNK,1
115,KANP,24,86045520,0.020378106,0,8.080808,2.97,PNK,1
116,OTTW,10.97000027,27981070,0.014565577,0,13.54321,0.81,PNK,1
117,ARCB,124.7200012,2951112192,0.02850088,371400,23.139147,5.39,NMS,0
118,ANDE,50.81999969,1716308224,0.022616274,173800,26.747368,1.9,NMS,0
119,AILLN,75.44200134,1920179968,0.012089422,0,4.3230762,17.451,PNK,1
120,AIT,165.7200012,6423307264,0.018289406,266422,17.896328,9.26,NYQ,0
121,DAL,38.04999924,24483766272,0.019166252,11004100,7.179245,5.3,NYQ,0
122,IGD,4.920000076,390718848,0.008830997,249819,17.571428,0.28,NYQ,0
123,NVO,100.4000015,4.58635E+11,0.019256916,4565700,41.14754,2.44,NYQ,0
124,AWK,133.2400055,25942493184,0.013589172,1063800,27.528925,4.84,NYQ,0
125,ALGN,220.4499969,16890967040,0.034548274,1390300,46.70551,4.72,NMS,0
126,ANET,216.6399994,67396702208,0.028976677,1645000,36.106667,6,NYQ,0
127,VNORP,42,4477283840,0.10814058,0,65.21739,0.644,PNK,1
128,CBKM,15.81999969,49174888,0.025303019,500,4.6529408,3.4,PNK,1
129,FNMA,0.74000001,860924096,0.051694286,670600,Infinity,0,PNK,1
130,INLX,4.139999866,16865366,0.031441768,1500,25.875,0.16,ASE,1
131,CRAWA,27.05999947,95000624,0.032050408,2300,7.235294,3.74,PNK,1
132,CZFS,58.5,275307424,0.022721528,8800,13.386728,4.37,NCM,1
133,PGOL,0.074600004,5330147,0.091443284,0,Infinity,0,PNK,1
134,FMCCJ,3.059999943,1386746112,0.043313489,1400,44.999996,0.068,PNK,1
135,NOA,20.54999924,549447360,0.02708215,54803,11.947674,1.72,NYQ,0
136,RTSL,0.006,52993,0.189164182,0,0.6,0.01,PNK,1
137,FMCKO,1.950000048,1544466304,0.029357312,0,28.67647,0.068,PNK,1
138,AMSF,48.00999832,920913408,0.013298039,124994,14.504532,3.31,NMS,0
139,ALB,126.1600037,14805255168,0.028996481,2803400,4.472173,28.21,NYQ,0
140,VNJA,3,90000000,0.044860919,0,Infinity,0,PNK,1
141,AGO,67.94000244,3890013440,0.015694543,206300,9.119464,7.45,NYQ,0
142,HBIA,72.90000153,666663232,0.009922308,500,15.510639,4.7,PNK,1
143,ATHM,26.62999916,3281401856,0.024132604,276700,11.941704,2.23,NYQ,0
144,ARW,119.6399994,6479630336,0.016593238,1123600,6.6614704,17.96,NYQ,0
145,PSIX,2.559999943,58800384,0.04694831,5700,2.1694915,1.18,PNK,1
146,ALV,105.0400009,8838937600,0.018610998,598000,21.747412,4.83,NYQ,0
147,AGYS,87.90000153,2230313216,0.02882673,219023,187.02129,0.47,NMS,0
148,QCCO,0.600000024,10399800,0.065340982,0,Infinity,0,PNK,1
149,RVIV,0.493499994,57777500,0.090337392,18250,49.350002,0.01,PNK,1
150,FMCCM,3.079999924,1382655360,0.040300876,800,45.220585,0.068,PNK,1
151,PPWLO,91.01000214,32496156672,0.063806961,0,38.271698,2.378,PNK,1
152,AOXY,0.159999996,526870,0.308907651,14860,Infinity,0,PNK,1
153,CNPWM,32,193126400,0.008728032,0,0.4284605,74.686,PNK,1
154,ACGL,82.62999725,30835202048,0.015761592,1659888,10.661935,7.75,NMS,0
155,ACIW,27.42000008,2981184768,0.024831791,1152600,35.153847,0.78,NMS,0
156,WDLF,0.00045,3327655,0.107412263,54349267,Infinity,0,PNK,1
157,PMHG,21.90999985,71410824,0.016364317,100,7.4271183,2.95,PNK,1
158,ARCO,12.14000034,2557351936,0.021723337,1648300,14.11628,0.86,NYQ,0
159,FNMAJ,1.99000001,2746777088,0.031840048,103800,284.2857,0.007,PNK,1
160,FMCCG,3.059999943,1408181376,0.044696964,1200,44.999996,0.068,PNK,1
161,AHH,11.36999989,1012431360,0.016623182,349364,32.485714,0.35,NYQ,0
162,SFDL,21.03000069,68138240,0.023047294,4900,6.938944,3.03,PNK,1
163,FMCCS,3.24000001,1430764544,0.036970397,0,47.647057,0.068,PNK,1
164,DTII,0.055,180721,0.236826333,10100,0.11397917,0.48,PNK,1
165,FNMAI,1.899999976,2620290048,0.038536548,0,271.42856,0.007,PNK,1
166,ARTNA,42.75,436917824,0.017794688,34529,27.229298,1.57,NMS,0
167,FNMAS,2.289999962,2898498816,0.029202912,136676,327.14285,0.007,PNK,1
168,AJG,248,53545930752,0.011081696,866000,47.60077,5.21,NYQ,0
169,BABA,73.98999786,1.88436E+11,0.026871277,27946500,10.348251,7.15,NYQ,0
170,SEE,34.06000137,4919490560,0.021349568,1749200,15.99061,2.13,NYQ,0
171,LH,218.9700012,18590554112,0.011965087,841000,22.574228,9.7,NYQ,0
172,NAUH,0.029999999,865068,0.123310222,0,0.2057353,0.17,PNK,0
173,OTCM,58.75,700781760,0.015301043,1300,24.479166,2.4,PNK,1
174,FGPR,7.539999962,255026176,0.028493168,3200,3.6076555,2.09,PNK,1
175,BBVA,9.279999733,54799699968,0.018212498,1319600,6.977443,1.33,NYQ,0
176,ALSN,54.52000046,4878706176,0.016871688,530700,7.7443185,7.04,NYQ,0
177,UTGN,30.01000023,94935448,0.03186631,0,5.8958936,5.09,PNK,1
178,ASM,0.560000002,70828784,0.031234938,1297700,56.300003,0.01,ASE,0
179,CLRI,0.03104,7103321,0.113925437,0,Infinity,0,PNK,1
180,AMX,18.61000061,58302337024,0.014446584,1176700,12.574325,1.48,NYQ,0
181,DRFS,0.379999995,4260712,0.118932081,0,0.018147087,20.94,PNK,1
182,FGNV,0.759989977,38295136,0.020144592,0,75.999,0.01,PNK,1
183,DCLT,0.0027,425247,0.130823463,1026000,Infinity,0,PNK,1
184,VASO,0.219999999,38219544,0.045154328,263900,3.1142857,0.07,PNK,1
185,QNTO,12,28683360,0.020579489,1300,12.631579,0.95,PNK,1
186,AEE,78.97000122,20764766208,0.012556819,1981200,17.90703,4.41,NYQ,0
187,DOX,85.44999695,10170771456,0.011379573,773100,19.031181,4.49,NMS,0
188,AKR,15.68999958,1635635328,0.018827639,645800,65.375,0.24,NYQ,0
189,CYAP,0.200000003,254584,0.371629585,2507,Infinity,0,PNK,1
190,CNLTL,29.5,178038400,0.021818338,0,0.39498702,74.686,PNK,1
191,UBS,28.68000031,92730187776,0.019238943,3289600,3.0317125,9.46,NYQ,0
192,ASB,18.73999977,2828615680,0.023286625,2052100,7.6803274,2.44,NYQ,0
193,WMS,125.4700012,9775091712,0.025894592,475200,21.052013,5.96,NYQ,0
194,CRVW,0.059999999,36521760,0.11932594,0,Infinity,0,PNK,1
195,APOG,46.38000107,1023717952,0.017551752,142400,10.193406,4.55,NMS,0
196,AMTY,0.039999999,2652576,0.085903767,1000,3.5,0.01,PNK,1
197,FMCCP,3.140000105,1246350848,0.036938404,0,46.176468,0.068,PNK,1
198,NLCP,13.38000011,287132128,0.02051698,9500,11.634783,1.15,PNK,1
199,MDRX,12.13000011,1327507200,0.020022699,1657700,14.104651,0.86,NMS,0
200,ALKS,24.29000092,4058567680,0.020208423,4351200,19.58871,1.24,NMS,0
201,GLPI,47.68000031,12731323392,0.011663886,2328800,17.40146,2.74,NMS,0
202,FCNCB,1299,21386086400,0.0405215,100,1.6937661,766.93,PNK,1
203,ATSG,16.11000061,1051546432,0.033087543,445850,10.885136,1.48,NMS,0
204,PAC,152.3300018,7696884736,0.026056746,61448,14.832521,10.27,NYQ,0
205,HOMB,23.04999924,4650821632,0.018490143,1129646,11.028708,2.09,NYQ,0
206,ARCC,19.92000008,11354579968,0.011490661,3553000,8.623377,2.31,NMS,0
207,TBBA,7,18370380,0.034350678,500,4.827586,1.45,PNK,1
208,FKYS,14.25,86799032,0.024205978,500,12.391305,1.15,PNK,1
209,NUVR,11,56392380,0.029599926,0,8.8,1.25,PNK,1
210,AAP,54.09000015,3218463232,0.03158246,2211600,15.723837,3.44,NYQ,0
211,AREB,0.326000005,1674645,0.080371425,190000,0.00044244,754,NCM,1
212,UELMO,68,6944432128,0.005921727,0,13.325495,5.103,PNK,1
213,HOVVB,88.05000305,1141696512,0.078078822,0,8.254717,21.2,PNK,1
214,INRD,1.330000043,18887330,0.048807251,100,14.777778,0.09,PNK,1
215,PAYD,1.605000019,12857398,0.044145867,0,32.1,0.05,PNK,1
216,LNKB,6.5,240022896,0.025647927,93300,108.333336,0.06,NCM,1
217,AXR,17.37999916,91615360,0.023688053,10428,4.345,4,NYQ,0
218,GOL,3.690000057,5960530944,0.049136282,294852,2.1964288,1.68,NYQ,0
219,FMCCI,3.059999943,1390393600,0.039937512,700,44.999996,0.068,PNK,1
220,QURT,0.870000005,13636815,0.126232077,5500,87,0.01,PNK,1
221,FNMA,0.74000001,860924096,0.051694286,670600,Infinity,0,PNK,0
222,PKG,169.7100067,15210141696,0.015576809,1028600,19.4845,8.71,NYQ,0
223,OMAB,72.88999939,3936788992,0.028825907,48574,15.217119,4.79,NMS,0
224,AZN,64.79000092,2.00839E+11,0.013698842,3616200,34.280422,1.89,NMS,0
225,NOBH,27.5,89899696,0.024556482,100,8.184525,3.36,PNK,1
226,CRESY,8.840000153,1416406784,0.032822438,788001,2.87013,3.08,NMS,0
227,QMCI,0.270000011,24157572,0.063614186,200,Infinity,0,PNK,1
228,FREJN,3.119999886,1231055232,0.03150836,0,45.882347,0.068,PNK,1
229,ABM,42.15000153,2762182400,0.016887311,344400,11.839889,3.56,NYQ,0
230,FNMAO,3.450000048,2668561152,0.039030827,800,492.85715,0.007,PNK,1
231,PCTL,0.0015,1208395,0.123674547,256000,Infinity,0,PNK,1
232,LCTC,3.150000095,7730478,0.072350966,0,78.75001,0.04,PNK,1
233,EA,137.7599945,37060882432,0.013128749,1931700,37.84615,3.64,NMS,0
234,ABR,13.43999958,2533466880,0.024962198,8401700,7.59322,1.77,NYQ,0
235,CMRF,3.700000048,873600,143.5041978,0,0.00952381,0.21,PNK,1
236,UWHR,7.75,55792972,0.027688713,0,6.405041,1.21,PNK,1
237,EMYB,14.25,108359704,0.024714306,2100,7.307692,1.95,PNK,1
238,BVHBB,72,2382501632,0.075284657,0,19.251337,3.74,PNK,1
239,ASML,692.2000122,2.75978E+11,0.020215822,857600,32.89924,21.04,NMS,0
240,BAC,30.95999908,2.45009E+11,0.016802,46088100,8.672269,3.57,NYQ,0
241,CNLTN,31.79999924,191919360,0.01447542,100,0.42578262,74.686,PNK,1
242,APD,272.6400146,60582793216,0.015612661,1706200,26.44423,10.31,NYQ,0
243,CXW,14.43000031,1639320192,0.02396699,826669,25.31579,0.57,NYQ,0
244,AZZ,50.47999954,1265881856,0.01819502,110600,18.627306,2.71,NYQ,0
245,CNTHO,40.75,245934400,0.016117155,0,0.5456177,74.686,PNK,1
246,AB,29.09000015,3252174848,0.017492876,782000,13.162896,2.21,NYQ,0
